,re,re1,re2,re3,re4,re5,中国:产量:纯碱,re期货持仓量:纯碱,re期货持仓量(活跃合约):纯碱,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:开工率:纯碱,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_x,month_x,weekly,pred,pos,reMonth,asset
123,-0.007323568575232975,-0.03283966516419834,-0.009250398724082953,0.06487771739130443,-0.03157894736842104,0.04647160068846823,58.85,0.061585476221410085,0.12349196323199418,955997.0,675904.0,88.78,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,173,0.02696112962023821,1,-0.007323568575232975,0.5132229089085083
124,0.0013413816230718467,-0.007323568575232975,-0.03283966516419834,-0.009250398724082953,0.06487771739130443,-0.03157894736842104,59.23,-0.14114374835904298,-0.17619070163810246,821064.0,556816.0,89.35,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022,5,174,0.02448050564193109,1,0.0013413816230718467,0.5145642905315801
126,0.01841929002009368,0.0013413816230718467,-0.007323568575232975,-0.03283966516419834,-0.009250398724082953,0.06487771739130443,56.63,0.09184302319916604,0.16454448148041734,896473.0,648437.0,85.43,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022,5,176,0.12016006465720526,1,0.01841929002009368,0.5329835805516738
127,0.028280170996382692,0.01841929002009368,0.0013413816230718467,-0.007323568575232975,-0.03283966516419834,-0.009250398724082953,57.62,-0.046439770076734055,-0.10856875841446434,854841.0,578037.0,86.93,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022,5,177,0.13544279956779962,1,0.028280170996382692,0.5612637515480565
128,-0.03741605372561563,0.028280170996382692,0.01841929002009368,0.0013413816230718467,-0.007323568575232975,-0.03283966516419834,59.7,0.061672287595003095,0.06589024578011449,907561.0,616124.0,90.06,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022,6,178,0.12843292641586207,1,-0.03741605372561563,0.5238476978224409
129,-0.040863787375415295,-0.03741605372561563,0.028280170996382692,0.01841929002009368,0.0013413816230718467,-0.007323568575232975,58.77,0.02018707282485699,0.011184436899065675,925882.0,623015.0,88.66,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022,6,179,0.13892656951249305,1,-0.040863787375415295,0.4829839104470256
130,-0.06096293730516111,-0.040863787375415295,-0.03741605372561563,0.028280170996382692,0.01841929002009368,0.0013413816230718467,60.36,0.03444067386556826,0.056608588878277466,957770.0,658283.0,91.79,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022,6,180,0.18892458887614655,1,-0.06096293730516111,0.4220209731418645
131,0.012172630025820697,-0.06096293730516111,-0.040863787375415295,-0.03741605372561563,0.028280170996382692,0.01841929002009368,59.23,-0.04512356828883757,-0.08867462778166835,914552.0,599910.0,90.08,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022,6,181,0.2046921428251828,1,0.012172630025820697,0.4341936031676852
132,-0.06887755102040816,0.012172630025820697,-0.06096293730516111,-0.040863787375415295,-0.03741605372561563,0.028280170996382692,56.98,0.05947611508148243,0.05494157456951876,968946.0,632870.0,89.66,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,182,0.031263139120827795,1,-0.06887755102040816,0.365316052147277
133,-0.04031311154598827,-0.06887755102040816,0.012172630025820697,-0.06096293730516111,-0.040863787375415295,-0.03741605372561563,56.08,0.011598169557436533,-0.020786259421366138,980184.0,619715.0,85.28,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,183,-0.26863268611413665,-1,0.04031311154598827,0.4056291636932653
134,0.03629690048939649,-0.04031311154598827,-0.06887755102040816,0.012172630025820697,-0.06096293730516111,-0.040863787375415295,53.18,-0.08719995429429572,-0.16239884463019294,894712.0,519074.0,80.87,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,184,-0.26124319928462614,-1,-0.03629690048939649,0.3693322632038688
135,0.03266430539157805,0.03629690048939649,-0.04031311154598827,-0.06887755102040816,0.012172630025820697,-0.06096293730516111,52.37,0.12888057833135136,0.11335570650812787,1010023.0,577914.0,79.64,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,185,-0.19730210130305592,-1,-0.03266430539157805,0.33666795781229075
136,-0.015243902439024404,0.03266430539157805,0.03629690048939649,-0.04031311154598827,-0.06887755102040816,0.012172630025820697,53.86,-0.06614304822761463,-0.11447724055828379,943217.0,511756.0,81.91,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,186,-0.09171756400786565,-1,0.015243902439024404,0.35191186025131516
137,0.012770897832817374,-0.015243902439024404,0.03266430539157805,0.03629690048939649,-0.04031311154598827,-0.06887755102040816,50.32,-0.05388791762659073,-0.14877988729003666,892389.0,435617.0,76.53,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022,8,187,-0.0034220975034933592,-1,-0.012770897832817374,0.3391409624184978
138,-0.00420328620557886,0.012770897832817374,-0.015243902439024404,0.03266430539157805,0.03629690048939649,-0.04031311154598827,48.32,-0.09348501606362247,-0.23158416682544525,808964.0,334735.0,73.48,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022,8,188,0.05284689601695102,1,-0.00420328620557886,0.3349376762129189
139,0.03491941673062171,-0.00420328620557886,0.012770897832817374,-0.015243902439024404,0.03266430539157805,0.03629690048939649,51.8,-0.050930572930315776,0.062138706738166016,767763.0,355535.0,78.78,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022,8,189,0.04453954080927725,1,0.03491941673062171,0.36985709294354063
140,-0.0315164998146088,0.03491941673062171,-0.00420328620557886,0.012770897832817374,-0.015243902439024404,0.03266430539157805,47.38,-0.02738214787636284,0.13905803929289662,746740.0,404975.0,72.05,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022,8,190,-0.02049986216514964,-1,0.0315164998146088,0.40137359275814943
141,-0.27335375191424194,-0.0315164998146088,0.03491941673062171,-0.00420328620557886,0.012770897832817374,-0.015243902439024404,46.18,0.10399201864102636,0.2071535279955552,824395.0,488867.0,70.23,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022,9,191,-0.033144911279836826,-1,0.27335375191424194,0.6747273446723914
143,0.007376185458377149,-0.27335375191424194,-0.0315164998146088,0.03491941673062171,-0.00420328620557886,0.012770897832817374,51.05,-0.03176026055470982,0.008920626673512455,798212.0,493228.0,77.64,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022,9,193,-0.09851467488179479,-1,-0.007376185458377149,0.6673511592140142
144,0.05439330543933063,0.007376185458377149,-0.27335375191424194,-0.0315164998146088,0.03491941673062171,-0.00420328620557886,54.15,0.03846096024615009,0.01957918041960305,828912.0,502885.0,82.35,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022,9,194,-0.45922400447949446,-1,-0.05439330543933063,0.6129578537746836
145,-0.021329365079365115,0.05439330543933063,0.007376185458377149,-0.27335375191424194,-0.0315164998146088,0.03491941673062171,54.61,0.0361256683459763,0.046863597045050165,858857.0,526452.0,83.05,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022,9,195,-0.5101978384895923,-1,0.021329365079365115,0.6342872188540487
147,-0.06183476938672072,-0.021329365079365115,0.05439330543933063,0.007376185458377149,-0.27335375191424194,-0.0315164998146088,59.71,-0.08167948797064006,-0.06332391177163355,788706.0,493115.0,89.94,5.9,10.1,-0.1,1.3,2.3,-1.4,4.9,4.4,16.4,4.6,-11.1,-12.0,25.4,8.1,0.9,5.9,2022,10,198,-0.4996329734326119,-1,0.06183476938672072,0.6961219882407694
148,0.0054024851431657694,-0.06183476938672072,-0.021329365079365115,0.05439330543933063,0.007376185458377149,-0.27335375191424194,57.98,0.07824588629983786,0.08242499214179255,850419.0,533760.0,87.33,5.9,10.1,-0.1,1.3,2.3,-1.4,4.9,4.4,16.4,4.6,-11.1,-12.0,25.4,8.1,0.9,5.9,2022,10,199,-0.5127484978100055,-1,-0.0054024851431657694,0.6907195030976037
149,0.04245029554003232,0.0054024851431657694,-0.06183476938672072,-0.021329365079365115,0.05439330543933063,0.007376185458377149,59.28,0.00430964030671932,-0.03530425659472425,854084.0,514916.0,82.29,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,9.4,4.9,-12.5,-8.5,8.6,8.1,-1.3,5.2,2022,11,200,-0.5617362456688955,-1,-0.04245029554003232,0.6482692075575713
150,0.035051546391752675,0.04245029554003232,0.0054024851431657694,-0.06183476938672072,-0.021329365079365115,0.05439330543933063,58.87,0.023393483544944083,-0.01834085559586418,874064.0,505472.0,88.67,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,9.4,4.9,-12.5,-8.5,8.6,8.1,-1.3,5.2,2022,11,201,-0.27672354544580013,-1,-0.035051546391752675,0.6132176611658187
151,-0.002490039840637448,0.035051546391752675,0.04245029554003232,0.0054024851431657694,-0.06183476938672072,-0.021329365079365115,60.79,-0.024143540976404476,-0.0686843188148899,852961.0,470754.0,91.55,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,9.4,4.9,-12.5,-8.5,8.6,8.1,-1.3,5.2,2022,11,202,-0.33087849670446323,-1,0.002490039840637448,0.6157077010064561
152,0.08587119321018477,-0.002490039840637448,0.035051546391752675,0.04245029554003232,0.0054024851431657694,-0.06183476938672072,59.3,0.11713548450632572,0.06210249939458823,952873.0,499989.0,89.32,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,9.4,4.9,-12.5,-8.5,8.6,8.1,-1.3,5.2,2022,11,203,-0.3443064532846946,-1,-0.08587119321018477,0.5298365077962713
153,0.05057471264367819,0.08587119321018477,-0.002490039840637448,0.035051546391752675,0.04245029554003232,0.0054024851431657694,59.79,0.23506175534410145,0.2677558906295938,1176857.0,633864.0,90.05,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,204,-0.3105774766797659,-1,-0.05057471264367819,0.47926179515259315
154,0.04463894967177251,0.05057471264367819,0.08587119321018477,-0.002490039840637448,0.035051546391752675,0.04245029554003232,61.16,0.11766425317604434,-0.029918089684853544,1315331.0,614900.0,91.53,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,205,-0.1881972885786793,-1,-0.04463894967177251,0.43462284548082064
155,-0.034771679932970256,0.04463894967177251,0.05057471264367819,0.08587119321018477,-0.002490039840637448,0.035051546391752675,60.58,-0.04253758179500067,-0.022530492763050858,1259380.0,601046.0,90.67,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,206,-0.18792298707800337,-1,0.034771679932970256,0.4693945254137909
156,0.03342013888888884,-0.034771679932970256,0.04463894967177251,0.05057471264367819,0.08587119321018477,-0.002490039840637448,60.71,0.0039392399434643455,0.1452135111122943,1264341.0,688326.0,90.87,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,207,-0.15505868665616282,-1,-0.03342013888888884,0.43597438652490206
157,0.0037799244015119804,0.03342013888888884,-0.034771679932970256,0.04463894967177251,0.05057471264367819,0.08587119321018477,59.99,-0.022298572932460514,0.05411825210728627,1236148.0,725577.0,89.78,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,208,-0.14884999493115875,-1,-0.0037799244015119804,0.4321944621233901
159,0.05648535564853563,0.0037799244015119804,0.03342013888888884,-0.034771679932970256,0.04463894967177251,0.05057471264367819,61.67,-0.08434265152716336,0.02488364432720447,1131888.0,743632.0,92.29,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2023,1,210,-0.025234497534603946,-1,-0.05648535564853563,0.37570910647485445
160,0.01544554455445546,0.05648535564853563,0.0037799244015119804,0.03342013888888884,-0.034771679932970256,0.04463894967177251,60.9,0.12490988507696876,0.1259171202960605,1273272.0,837268.0,91.14,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2023,1,211,-0.04677235809014971,-1,-0.01544554455445546,0.360263561920399
162,-0.030421216848673938,0.01544554455445546,0.05648535564853563,0.0037799244015119804,0.03342013888888884,-0.034771679932970256,61.29,-0.009641302094132276,-0.051030255545416736,1260996.0,794542.0,91.72,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023,2,214,0.02594633199447313,1,-0.030421216848673938,0.32984234507172505
163,0.017699115044247815,-0.030421216848673938,0.01544554455445546,0.05648535564853563,0.0037799244015119804,0.03342013888888884,61.52,0.03069954226658922,-0.004680683966360455,1299708.0,790823.0,92.07,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023,2,215,-0.012313863460635177,-1,-0.017699115044247815,0.31214323002747724
164,0.017391304347825987,0.017699115044247815,-0.030421216848673938,0.01544554455445546,0.05648535564853563,0.0037799244015119804,60.83,0.02290976126945443,-0.0273689561380992,1329484.0,769179.0,91.04,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023,2,216,-0.008442380672909214,-1,-0.017391304347825987,0.29475192567965125
165,-0.029526029526029562,0.017391304347825987,0.017699115044247815,-0.030421216848673938,0.01544554455445546,0.05648535564853563,60.61,-0.01783022586206373,-0.08237744400198133,1305779.0,705816.0,90.71,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,217,-0.011538051239705173,-1,0.029526029526029562,0.3242779552056808
166,-0.04923939151321055,-0.029526029526029562,0.017391304347825987,0.017699115044247815,-0.030421216848673938,0.01544554455445546,62.36,-0.007285306319063212,-0.08692350414272276,1296266.0,644464.0,93.32,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,218,-0.0118675321001418,-1,0.04923939151321055,0.37351734671889136
167,0.05052631578947375,-0.04923939151321055,-0.029526029526029562,0.017391304347825987,0.017699115044247815,-0.030421216848673938,62.33,0.06450759334889589,-0.009047828893468113,1379885.0,638633.0,93.28,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,219,-0.011383787651473675,-1,-0.05052631578947375,0.3229910309294176
168,-0.012825651302605157,0.05052631578947375,-0.04923939151321055,-0.029526029526029562,0.017391304347825987,0.017699115044247815,62.2,0.013530837714737176,-0.07620495652432613,1398556.0,589966.0,90.09,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,220,-0.011502417577516872,-1,0.012825651302605157,0.33581668223202277
169,-0.01218026796589522,-0.012825651302605157,0.05052631578947375,-0.04923939151321055,-0.029526029526029562,0.017391304347825987,61.75,0.01268808685529943,-0.11256750389005465,1416301.0,523555.0,92.42,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,221,-0.01080800481262614,-1,0.01218026796589522,0.347996950197918
170,-0.034936292642827826,-0.01218026796589522,-0.012825651302605157,0.05052631578947375,-0.04923939151321055,-0.029526029526029562,62.66,0.026859403474261523,0.1885971865420062,1454342.0,622296.0,93.78,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,222,-0.01566293913126354,-1,0.034936292642827826,0.3829332428407458
171,-0.05195911413969334,-0.034936292642827826,-0.01218026796589522,-0.012825651302605157,0.05052631578947375,-0.04923939151321055,61.18,-0.03172912561144492,0.07634469770012986,1408197.0,669805.0,91.57,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,223,-0.01362303364779009,-1,0.05195911413969334,0.43489235698043915
172,-0.05929919137466311,-0.05195911413969334,-0.034936292642827826,-0.01218026796589522,-0.012825651302605157,0.05052631578947375,60.63,0.050681119189999624,0.1261382044027739,1479566.0,754293.0,90.73,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,224,-0.01312443741029163,-1,0.05929919137466311,0.49419154835510226
173,-0.028175740210124145,-0.05929919137466311,-0.05195911413969334,-0.034936292642827826,-0.01218026796589522,-0.012825651302605157,62.1,0.036637094931892156,0.054370118773473974,1533773.0,795304.0,92.94,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,225,-0.0134665054725102,-1,0.028175740210124145,0.5223672885652264
174,-0.07911547911547911,-0.028175740210124145,-0.05929919137466311,-0.05195911413969334,-0.034936292642827826,-0.01218026796589522,63.05,0.038351829116825,0.07576348163721036,1592596.0,855559.0,94.36,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,226,-0.01817000078473336,-1,0.07911547911547911,0.6014827676807055
175,-0.0699039487726788,-0.07911547911547911,-0.028175740210124145,-0.05929919137466311,-0.05195911413969334,-0.034936292642827826,62.5,-0.021684093141010052,-0.01306280455234532,1558062.0,844383.0,93.54,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,227,-0.017985815241228498,-1,0.0699039487726788,0.6713867164533843
176,-0.07630522088353409,-0.0699039487726788,-0.07911547911547911,-0.028175740210124145,-0.05929919137466311,-0.05195911413969334,60.93,0.04370108506593451,0.05029471223366655,1626151.0,886851.0,91.19,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,228,-0.01790649224854877,-1,0.07630522088353409,0.7476919373369184
177,0.0627329192546584,-0.07630522088353409,-0.0699039487726788,-0.07911547911547911,-0.028175740210124145,-0.05929919137466311,58.73,0.22588800179073165,0.19553904770925445,1993479.0,1060265.0,87.33,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,229,-0.017779848574694973,-1,-0.0627329192546584,0.68495901808226
178,-0.03214494447691407,0.0627329192546584,-0.07630522088353409,-0.0699039487726788,-0.07911547911547911,-0.028175740210124145,59.99,0.23507747009123237,0.2369294468835621,2462101.0,1311473.0,89.22,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,230,-0.026239016238633655,-1,0.03214494447691407,0.7171039625591741
179,0.024758454106280192,-0.03214494447691407,0.0627329192546584,-0.07630522088353409,-0.0699039487726788,-0.07911547911547911,60.62,0.049872040180317434,-0.07031787920910304,2584891.0,1219253.0,90.14,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,231,-0.024632918907754313,-1,-0.024758454106280192,0.6923455084528939
180,-0.015321154979375362,0.024758454106280192,-0.03214494447691407,0.0627329192546584,-0.07630522088353409,-0.0699039487726788,60.25,0.030234156875473595,-0.07391657022783626,2663043.0,1129130.0,89.6,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,232,-0.024841754297927718,-1,0.015321154979375362,0.7076666634322692
181,0.010173548773189767,-0.015321154979375362,0.024758454106280192,-0.03214494447691407,0.0627329192546584,-0.07630522088353409,60.55,0.09193280018384975,0.0746282536111873,2907864.0,1213395.0,90.05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,233,-0.025403053731529464,-1,-0.010173548773189767,0.6974931146590795
182,0.004739336492890933,0.010173548773189767,-0.015321154979375362,0.024758454106280192,-0.03214494447691407,0.0627329192546584,61.03,-0.012437651829659169,-0.06538101772300031,2871697.0,1134062.0,91.34,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,234,-0.029840919221484987,-1,-0.004739336492890933,0.6927537781661885
183,0.09316037735849059,0.004739336492890933,0.010173548773189767,-0.015321154979375362,0.024758454106280192,-0.03214494447691407,60.34,0.026857290306045556,-0.05561512509898048,2948823.0,1070991.0,90.3,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,235,-0.030921105370175398,-1,-0.09316037735849059,0.599593400807698
184,0.07335490830636471,0.09316037735849059,0.004739336492890933,0.010173548773189767,-0.015321154979375362,0.024758454106280192,56.02,0.01447764074005109,0.032933049857561736,2991515.0,1106262.0,83.84,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,236,-0.031830062085288394,-1,-0.07335490830636471,0.5262384925013333
185,0.048241206030150696,0.07335490830636471,0.09316037735849059,0.004739336492890933,0.010173548773189767,-0.015321154979375362,56.54,0.07232154944902502,0.0890756439252185,3207866.0,1204803.0,84.62,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,237,-0.03134250754856644,-1,-0.048241206030150696,0.47799728647118256
186,-0.046979865771812124,0.048241206030150696,0.07335490830636471,0.09316037735849059,0.004739336492890933,0.010173548773189767,56.88,-0.10829130643237594,-0.24000355244799354,2860482.0,915646.0,85.13,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,238,-0.031448749107462814,-1,0.046979865771812124,0.5249771522429947
187,0.03420523138832987,-0.046979865771812124,0.048241206030150696,0.07335490830636471,0.09316037735849059,0.004739336492890933,54.72,0.06278067822136268,0.023574612896250402,3040065.0,937232.0,81.9,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,239,-0.03912519402207262,-1,-0.03420523138832987,0.4907719208546648
188,0.1532101167315174,0.03420523138832987,-0.046979865771812124,0.048241206030150696,0.07335490830636471,0.09316037735849059,54.1,-0.10800426964555032,-0.33469407788039673,2711725.0,623546.0,79.42,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,240,-0.04068812178030331,-1,-0.1532101167315174,0.3375618041231474
189,0.2547448334036271,0.1532101167315174,0.03420523138832987,-0.046979865771812124,0.048241206030150696,0.07335490830636471,54.81,0.19596861776175678,1.0365778948144966,3243138.0,1269900.0,78.3,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,241,-0.03948412317987619,-1,-0.2547448334036271,0.08281697071952032
190,0.09243697478991586,0.2547448334036271,0.1532101167315174,0.03420523138832987,-0.046979865771812124,0.048241206030150696,55.95,-0.03900543239294785,-0.0008551854476730458,3116638.0,1268814.0,79.93,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,242,-0.03530861774523768,-1,-0.09243697478991586,-0.009620004070395538
191,0.09046153846153837,0.09243697478991586,0.2547448334036271,0.1532101167315174,0.03420523138832987,-0.046979865771812124,57.01,-0.18621091060302797,-0.20746145613147393,2536286.0,1005584.0,81.44,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023,9,243,-0.025096820462273014,-1,-0.09046153846153837,-0.10008154253193391
192,-0.019469525959367906,0.09046153846153837,0.09243697478991586,0.2547448334036271,0.1532101167315174,0.03420523138832987,56.92,-0.13909235788077523,-0.0398146748556063,2183508.0,965547.0,81.32,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023,9,244,-0.026827847984381384,-1,0.019469525959367906,-0.080612016572566
